TYPE,BRAND,DESCRIPTION,UOM,OLD_SELLING_PRICE
BEER,Anchor,ANCHOR STRONG BEER CAN 490ML X 24,CTN,98.0
BEER,Carlsberg,CARLSBERG BEER CAN 500ML X 24,CTN,88.0
BEER,Guinness,GUINNESS DRAUGHT 440ML X 24,CTN,108.0
BEER,Guinness,GUINNESS STOUT CAN 320ML X 24,CTN,88.0
BEER,Heineken,HEINEKEN LONG CAN 500ML X 24,CTN,88.0
BEER,Heineken,HEINEKEN SLIM CAN 320ML X 24,CTN,63.0
BEER,Kingfisher,KINGFISHER STRONG 490ML X 24,CTN,95.0
BEER,Kingfisher,KINGFISHER STRONG 650ML X 12,CTN,
BEER,Tiger,TIGER BEER CAN 500ML X 24,CTN,93.0
BEER,Tiger,TIGER BEER SLIM CAN 320ML X 24,CTN,54.0
LIQUEURS,Jagermeister,JAGERMEISTER HERBAL 700ML,BOT,42.8
LIQUEURS,1848,1848 PREMIUM XO BRANDY 180ML,BOT,
LIQUEURS,Martell,MARTELL VSOP 700ML (W/O BOX),BOT,95.8
LIQUEURS,Martell,MARTELL VSOP 700ML (WITH BOX),BOT,95.8
TEQUILA,Jose Cuervo,JOSE CUERVO TEQUILA GOLD 75CL,BOT,48.8
TEQUILA,Jose Cuervo,JOSE CUERVO TEQUILA SILVER 70CL,BOT,49.0
TEQUILA,Castillo,TERESA DC CASTILLO TEQUILA GOLD,BOT,
BOURBON,Jack Daniels,JACK DANIELS 70CL,BOT,54.8
BOURBON,Jack Daniels,JACK DANIELS HONEY 70CL,BOT,54.8
BOURBON,Jim Beam,JIM BEAM BOURBON 700ML,BOT,49.8
GIN,Bombay Sapphire,BOMBAY SAPPHIRE GIN 70CL,BOT,58.0
GIN,Tanqueray,TANQUERAY GIN 700ML,BOT,58.8
GIN,Hendricks,HENDRICKS GIN 70CL,BOT,79.8
GIN,Roku,ROKU GIN 70CL,BOT,65.8
RUM,Bacardi,BACARDI GOLD RUM 75CL,BOT,60.0
RUM,Bacardi,BACARDI LIMON 70CL,BOT,50.0
RUM,Bacardi,BACARDI RUM 70CL,BOT,46.0
RUM,Bacardi,BACARDI MOJITO 70CL,BOT,45.8
VODKA,Belvedere,BELVEDERE VODKA 700ML,BOT,73.8
VODKA,Grey Goose,GREY GOOSE ORIGINAL 70CL,BOT,67.8
VODKA,Smirnoff,SMIRNOFF VODKA 700ML,BOT,44.0
VODKA,Absolut,ABSOLUT VODKA 700ML,BOT,49.8
WHISKY,Chivas,CHIVAS REGAL 18YRS 75CL,BOT,115.8
WHISKY,Chivas,CHIVAS REGAL 1000ML (W BOX),BOT,74.8
WHISKY,Chivas,CHIVAS REGAL 70CL (W/O BOX),BOT,57.8
WHISKY,Jameson,JAMESON IRISH WHISKY 70CL,BOT,55.8
WHISKY,Fireball,FIREBALL WHISKY,BOT,49.8
SINGLE MALT,Glenfiddich,GLENFIDDICH 12YRS 70CL,BOT,82.8
SINGLE MALT,Glenfiddich,GLENFIDDICH 15YRS 75CL,BOT,115.0
SINGLE MALT,Glenfiddich,GLENFIDDICH 18YRS 70CL,BOT,142.0
SINGLE MALT,Glenlivet,GLENLIVET 12YRS DOUBLE OAK 70CL,BOT,94.8
SINGLE MALT,Glenlivet,GLENLIVET 15YRS 700ML,BOT,114.0
SINGLE MALT,Glenlivet,GLENLIVET 18YRS 700ML,BOT,165.0
SINGLE MALT,Singleton,SINGLETON 12YRS 700ML,BOT,65.8
SINGLE MALT,Singleton,SINGLETON 15YRS 700ML,BOT,98.0
SINGLE MALT,Singleton,SINGLETON 18YRS 700ML,BOT,136.0
